group,exp_name,status,return_code,duration_sec,f1,pairs_f1,full_f1,full_pairs_f1,rep,full_rep,picked_split,picked_epoch,notes,cmd
ablation,full_reference_user_reported,reference,0,0.00,0.049300,0.010700,0.479900,0.177300,0.000000,0.006400,TEST,TEST_ONLY,from user-reported full experiment result,N/A (reference row)
ablation,fsq_base_fullmetric_cmp_full_s2050,skipped_reused,0,0.00,0.049700,0.006600,0.480900,0.176900,0.000000,0.006900,TEST,FINAL,reused_log=../04-02-18:44 fsq_base_fullmetric_cmp_full_s2050(2050).log,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path data_split_new.pkl --device cuda:0 --name fsq_base_fullmetric_cmp_full_s2050 --save_path ../../Foursquare/model_save_new --dataset_name Foursquare --ori_data ../../Foursquare/home.txt --dst_data ../../Foursquare/oot.txt --trans_data ../../Foursquare/travel.txt --ori_data_enriched ../../Foursquare/extendData/enriched_home.txt --dst_data_enriched ../../Foursquare/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-0.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 2 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 3 --dropout 0.09006709541052905 --temperature 0.05767587816624931 --enable_pairwise_loss 0 --lambda_pair 0.0 --pair_max_future 8 --lambda_transition 0.8273752580873036 --transition_logit_scale 1.1110770204640883 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.5098784617538058 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --epoch 30 --stop_epoch 8 --lr 0.0004421206523113628 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric combo --combo_beta 4.0 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
ablation,fsq_base_fullmetric_cmp_no_llm_semantic_s2050,skipped_reused,0,0.00,0.043200,0.004800,0.477200,0.173600,0.000000,0.006600,TEST,FINAL,reused_log=../04-02-18:54 fsq_base_fullmetric_cmp_no_llm_semantic_s2050(2050).log,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path data_split_new.pkl --device cuda:0 --name fsq_base_fullmetric_cmp_no_llm_semantic_s2050 --save_path ../../Foursquare/model_save_new --dataset_name Foursquare --ori_data ../../Foursquare/home.txt --dst_data ../../Foursquare/oot.txt --trans_data ../../Foursquare/travel.txt --ori_data_enriched ../../Foursquare/extendData/enriched_home.txt --dst_data_enriched ../../Foursquare/extendData/enriched_oot.txt --semantic_backend fallback --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-0.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 2 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 3 --dropout 0.09006709541052905 --temperature 0.05767587816624931 --enable_pairwise_loss 0 --lambda_pair 0.0 --pair_max_future 8 --lambda_transition 0.8273752580873036 --transition_logit_scale 1.1110770204640883 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.5098784617538058 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --epoch 30 --stop_epoch 8 --lr 0.0004421206523113628 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric combo --combo_beta 4.0 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
ablation,fsq_base_fullmetric_cmp_no_disentangle_transfer_s2050,skipped_reused,0,0.00,0.042200,0.008000,0.475800,0.174900,0.000000,0.007800,TEST,FINAL,reused_log=../04-02-18:57 fsq_base_fullmetric_cmp_no_disentangle_transfer_s2050(2050).log,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path data_split_new.pkl --device cuda:0 --name fsq_base_fullmetric_cmp_no_disentangle_transfer_s2050 --save_path ../../Foursquare/model_save_new --dataset_name Foursquare --ori_data ../../Foursquare/home.txt --dst_data ../../Foursquare/oot.txt --trans_data ../../Foursquare/travel.txt --ori_data_enriched ../../Foursquare/extendData/enriched_home.txt --dst_data_enriched ../../Foursquare/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-0.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 2 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 3 --dropout 0.09006709541052905 --temperature 0.05767587816624931 --enable_pairwise_loss 0 --lambda_pair 0.0 --pair_max_future 8 --lambda_transition 0.8273752580873036 --transition_logit_scale 1.1110770204640883 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.5098784617538058 --use_no_repeat_mask 1 --pref_factor_k 1 --lambda_decouple 0.0 --lambda_semantic 0.0 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --epoch 30 --stop_epoch 8 --lr 0.0004421206523113628 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric combo --combo_beta 4.0 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
ablation,fsq_base_fullmetric_cmp_no_city_group_pref_s2050,skipped_reused,0,0.00,0.026700,0.006700,0.464600,0.162200,0.000000,0.003300,TEST,FINAL,reused_log=../04-02-19:06 fsq_base_fullmetric_cmp_no_city_group_pref_s2050(2050).log,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path data_split_new.pkl --device cuda:0 --name fsq_base_fullmetric_cmp_no_city_group_pref_s2050 --save_path ../../Foursquare/model_save_new --dataset_name Foursquare --ori_data ../../Foursquare/home.txt --dst_data ../../Foursquare/oot.txt --trans_data ../../Foursquare/travel.txt --ori_data_enriched ../../Foursquare/extendData/enriched_home.txt --dst_data_enriched ../../Foursquare/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-0.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 2 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 3 --dropout 0.09006709541052905 --temperature 0.05767587816624931 --enable_pairwise_loss 0 --lambda_pair 0.0 --pair_max_future 8 --lambda_transition 0.8273752580873036 --transition_logit_scale 1.1110770204640883 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.5098784617538058 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed 1.0 --enforce_start_end_constraints 1 --epoch 30 --stop_epoch 8 --lr 0.0004421206523113628 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric combo --combo_beta 4.0 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
ablation,fsq_base_fullmetric_cmp_no_start_end_constraints_s2050,skipped_reused,0,0.00,0.027000,0.000400,0.534100,0.223100,0.000000,0.042700,TEST,FINAL,reused_log=../04-02-19:18 fsq_base_fullmetric_cmp_no_start_end_constraints_s2050(2050).log,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path data_split_new.pkl --device cuda:0 --name fsq_base_fullmetric_cmp_no_start_end_constraints_s2050 --save_path ../../Foursquare/model_save_new --dataset_name Foursquare --ori_data ../../Foursquare/home.txt --dst_data ../../Foursquare/oot.txt --trans_data ../../Foursquare/travel.txt --ori_data_enriched ../../Foursquare/extendData/enriched_home.txt --dst_data_enriched ../../Foursquare/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-0.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 2 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 3 --dropout 0.09006709541052905 --temperature 0.05767587816624931 --enable_pairwise_loss 0 --lambda_pair 0.0 --pair_max_future 8 --lambda_transition 0.8273752580873036 --transition_logit_scale 1.1110770204640883 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.5098784617538058 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 0 --epoch 30 --stop_epoch 8 --lr 0.0004421206523113628 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric combo --combo_beta 4.0 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
hparam_seq_num_layers,fsq_base_fullmetric_cmp_seq_num_layers_1_s2050,skipped_reused,0,0.00,0.047300,0.007700,0.478600,0.174400,0.000000,0.005400,TEST,FINAL,reused_log=../04-02-19:30 fsq_base_fullmetric_cmp_seq_num_layers_1_s2050(2050).log,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path data_split_new.pkl --device cuda:0 --name fsq_base_fullmetric_cmp_seq_num_layers_1_s2050 --save_path ../../Foursquare/model_save_new --dataset_name Foursquare --ori_data ../../Foursquare/home.txt --dst_data ../../Foursquare/oot.txt --trans_data ../../Foursquare/travel.txt --ori_data_enriched ../../Foursquare/extendData/enriched_home.txt --dst_data_enriched ../../Foursquare/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-0.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 1 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 3 --dropout 0.09006709541052905 --temperature 0.05767587816624931 --enable_pairwise_loss 0 --lambda_pair 0.0 --pair_max_future 8 --lambda_transition 0.8273752580873036 --transition_logit_scale 1.1110770204640883 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.5098784617538058 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --epoch 30 --stop_epoch 8 --lr 0.0004421206523113628 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric combo --combo_beta 4.0 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
hparam_seq_num_layers,fsq_base_fullmetric_cmp_seq_num_layers_2_s2050,skipped_reused,0,0.00,0.049700,0.006600,0.480900,0.176900,0.000000,0.006900,TEST,FINAL,reused_log=../04-02-19:42 fsq_base_fullmetric_cmp_seq_num_layers_2_s2050(2050).log,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path data_split_new.pkl --device cuda:0 --name fsq_base_fullmetric_cmp_seq_num_layers_2_s2050 --save_path ../../Foursquare/model_save_new --dataset_name Foursquare --ori_data ../../Foursquare/home.txt --dst_data ../../Foursquare/oot.txt --trans_data ../../Foursquare/travel.txt --ori_data_enriched ../../Foursquare/extendData/enriched_home.txt --dst_data_enriched ../../Foursquare/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-0.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 2 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 3 --dropout 0.09006709541052905 --temperature 0.05767587816624931 --enable_pairwise_loss 0 --lambda_pair 0.0 --pair_max_future 8 --lambda_transition 0.8273752580873036 --transition_logit_scale 1.1110770204640883 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.5098784617538058 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --epoch 30 --stop_epoch 8 --lr 0.0004421206523113628 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric combo --combo_beta 4.0 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
hparam_seq_num_layers,fsq_base_fullmetric_cmp_seq_num_layers_3_s2050,skipped_reused,0,0.00,0.043300,0.004600,0.477600,0.175900,0.000000,0.008600,TEST,FINAL,reused_log=../04-02-19:52 fsq_base_fullmetric_cmp_seq_num_layers_3_s2050(2050).log,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path data_split_new.pkl --device cuda:0 --name fsq_base_fullmetric_cmp_seq_num_layers_3_s2050 --save_path ../../Foursquare/model_save_new --dataset_name Foursquare --ori_data ../../Foursquare/home.txt --dst_data ../../Foursquare/oot.txt --trans_data ../../Foursquare/travel.txt --ori_data_enriched ../../Foursquare/extendData/enriched_home.txt --dst_data_enriched ../../Foursquare/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-0.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 3 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 3 --dropout 0.09006709541052905 --temperature 0.05767587816624931 --enable_pairwise_loss 0 --lambda_pair 0.0 --pair_max_future 8 --lambda_transition 0.8273752580873036 --transition_logit_scale 1.1110770204640883 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.5098784617538058 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --epoch 30 --stop_epoch 8 --lr 0.0004421206523113628 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric combo --combo_beta 4.0 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
hparam_transition_strength,fsq_base_fullmetric_cmp_trans_strength_x0.5_s2050,skipped_reused,0,0.00,0.045500,0.008200,0.478000,0.172800,0.000000,0.004900,TEST,FINAL,reused_log=../04-02-20:02 fsq_base_fullmetric_cmp_trans_strength_x0.5_s2050(2050).log,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path data_split_new.pkl --device cuda:0 --name fsq_base_fullmetric_cmp_trans_strength_x0.5_s2050 --save_path ../../Foursquare/model_save_new --dataset_name Foursquare --ori_data ../../Foursquare/home.txt --dst_data ../../Foursquare/oot.txt --trans_data ../../Foursquare/travel.txt --ori_data_enriched ../../Foursquare/extendData/enriched_home.txt --dst_data_enriched ../../Foursquare/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-0.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 2 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 3 --dropout 0.09006709541052905 --temperature 0.05767587816624931 --enable_pairwise_loss 0 --lambda_pair 0.0 --pair_max_future 8 --lambda_transition 0.4136876290436518 --transition_logit_scale 0.5555385102320441 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.5098784617538058 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --epoch 30 --stop_epoch 8 --lr 0.0004421206523113628 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric combo --combo_beta 4.0 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
