group,exp_name,status,return_code,duration_sec,f1,pairs_f1,full_f1,full_pairs_f1,rep,full_rep,picked_split,picked_epoch,notes,cmd
ablation,full_reference_user_reported,reference,0,0.00,0.049300,0.010700,0.479900,0.177300,0.000000,0.006400,TEST,TEST_ONLY,from user-reported full experiment result,N/A (reference row)
ablation,yelp_full_v1_full_s2050,skipped_reused,0,0.00,0.013500,0.000500,0.519100,0.202400,0.000000,0.000100,TEST,FINAL,reused_log=../04-02-03_13 yelp_full_v1_full_s2050(2050).log,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path /root/autodl-tmp/MyCrossCity/Yelp/spottrip_baseline_split.pkl --device cuda:0 --name yelp_full_v1_full_s2050 --save_path ../../Yelp/model_save_new --dataset_name Yelp --ori_data ../../Yelp/home.txt --dst_data ../../Yelp/oot.txt --trans_data ../../Yelp/travel.txt --ori_data_enriched ../../Yelp/extendData/enriched_home.txt --dst_data_enriched ../../Yelp/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-1.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 2 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.13266038732619795 --temperature 0.09096176093766724 --enable_pairwise_loss 1 --lambda_pair 0.07415356011717347 --pair_max_future 4 --lambda_transition 0.11150286871666779 --transition_logit_scale 0.1134787841314744 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.4422800705989885 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --epoch 30 --stop_epoch 8 --lr 0.0004421206523113628 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric combo --combo_beta 4.0 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
ablation,yelp_full_v1_no_llm_semantic_s2050,skipped_reused,0,0.00,0.012700,0.000200,0.518300,0.202200,0.000000,0.001700,TEST,FINAL,reused_log=../04-02-03_21 yelp_full_v1_no_llm_semantic_s2050(2050).log,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path /root/autodl-tmp/MyCrossCity/Yelp/spottrip_baseline_split.pkl --device cuda:0 --name yelp_full_v1_no_llm_semantic_s2050 --save_path ../../Yelp/model_save_new --dataset_name Yelp --ori_data ../../Yelp/home.txt --dst_data ../../Yelp/oot.txt --trans_data ../../Yelp/travel.txt --ori_data_enriched ../../Yelp/extendData/enriched_home.txt --dst_data_enriched ../../Yelp/extendData/enriched_oot.txt --semantic_backend fallback --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-1.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 2 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.13266038732619795 --temperature 0.09096176093766724 --enable_pairwise_loss 1 --lambda_pair 0.07415356011717347 --pair_max_future 4 --lambda_transition 0.11150286871666779 --transition_logit_scale 0.1134787841314744 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.4422800705989885 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --epoch 30 --stop_epoch 8 --lr 0.0004421206523113628 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric combo --combo_beta 4.0 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
ablation,yelp_full_v1_no_disentangle_transfer_s2050,skipped_reused,0,0.00,0.013800,0.001600,0.519000,0.202700,0.000000,0.000500,TEST,FINAL,reused_log=../04-02-03_24 yelp_full_v1_no_disentangle_transfer_s2050(2050).log,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path /root/autodl-tmp/MyCrossCity/Yelp/spottrip_baseline_split.pkl --device cuda:0 --name yelp_full_v1_no_disentangle_transfer_s2050 --save_path ../../Yelp/model_save_new --dataset_name Yelp --ori_data ../../Yelp/home.txt --dst_data ../../Yelp/oot.txt --trans_data ../../Yelp/travel.txt --ori_data_enriched ../../Yelp/extendData/enriched_home.txt --dst_data_enriched ../../Yelp/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-1.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 2 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.13266038732619795 --temperature 0.09096176093766724 --enable_pairwise_loss 1 --lambda_pair 0.07415356011717347 --pair_max_future 4 --lambda_transition 0.11150286871666779 --transition_logit_scale 0.1134787841314744 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.4422800705989885 --use_no_repeat_mask 1 --pref_factor_k 1 --lambda_decouple 0.0 --lambda_semantic 0.0 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --epoch 30 --stop_epoch 8 --lr 0.0004421206523113628 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric combo --combo_beta 4.0 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
ablation,yelp_full_v1_no_city_group_pref_s2050,skipped_reused,0,0.00,0.006300,0.000100,0.514400,0.197600,0.000000,0.000700,TEST,FINAL,reused_log=../04-02-03_32 yelp_full_v1_no_city_group_pref_s2050(2050).log,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path /root/autodl-tmp/MyCrossCity/Yelp/spottrip_baseline_split.pkl --device cuda:0 --name yelp_full_v1_no_city_group_pref_s2050 --save_path ../../Yelp/model_save_new --dataset_name Yelp --ori_data ../../Yelp/home.txt --dst_data ../../Yelp/oot.txt --trans_data ../../Yelp/travel.txt --ori_data_enriched ../../Yelp/extendData/enriched_home.txt --dst_data_enriched ../../Yelp/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-1.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 2 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.13266038732619795 --temperature 0.09096176093766724 --enable_pairwise_loss 1 --lambda_pair 0.07415356011717347 --pair_max_future 4 --lambda_transition 0.11150286871666779 --transition_logit_scale 0.1134787841314744 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.4422800705989885 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed 1.0 --enforce_start_end_constraints 1 --epoch 30 --stop_epoch 8 --lr 0.0004421206523113628 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric combo --combo_beta 4.0 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
ablation,yelp_full_v1_no_start_end_constraints_s2050,skipped_reused,0,0.00,0.010000,0.000300,0.599200,0.283500,0.000000,0.020500,TEST,FINAL,reused_log=../04-02-03_43 yelp_full_v1_no_start_end_constraints_s2050(2050).log,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path /root/autodl-tmp/MyCrossCity/Yelp/spottrip_baseline_split.pkl --device cuda:0 --name yelp_full_v1_no_start_end_constraints_s2050 --save_path ../../Yelp/model_save_new --dataset_name Yelp --ori_data ../../Yelp/home.txt --dst_data ../../Yelp/oot.txt --trans_data ../../Yelp/travel.txt --ori_data_enriched ../../Yelp/extendData/enriched_home.txt --dst_data_enriched ../../Yelp/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-1.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 2 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.13266038732619795 --temperature 0.09096176093766724 --enable_pairwise_loss 1 --lambda_pair 0.07415356011717347 --pair_max_future 4 --lambda_transition 0.11150286871666779 --transition_logit_scale 0.1134787841314744 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.4422800705989885 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 0 --epoch 30 --stop_epoch 8 --lr 0.0004421206523113628 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric combo --combo_beta 4.0 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
hparam_seq_num_layers,yelp_full_v1_seq_num_layers_1_s2050,skipped_reused,0,0.00,0.014000,0.000400,0.519200,0.202700,0.000000,0.000700,TEST,FINAL,reused_log=../04-02-03_52 yelp_full_v1_seq_num_layers_1_s2050(2050).log,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path /root/autodl-tmp/MyCrossCity/Yelp/spottrip_baseline_split.pkl --device cuda:0 --name yelp_full_v1_seq_num_layers_1_s2050 --save_path ../../Yelp/model_save_new --dataset_name Yelp --ori_data ../../Yelp/home.txt --dst_data ../../Yelp/oot.txt --trans_data ../../Yelp/travel.txt --ori_data_enriched ../../Yelp/extendData/enriched_home.txt --dst_data_enriched ../../Yelp/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-1.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 1 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.13266038732619795 --temperature 0.09096176093766724 --enable_pairwise_loss 1 --lambda_pair 0.07415356011717347 --pair_max_future 4 --lambda_transition 0.11150286871666779 --transition_logit_scale 0.1134787841314744 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.4422800705989885 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --epoch 30 --stop_epoch 8 --lr 0.0004421206523113628 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric combo --combo_beta 4.0 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
hparam_seq_num_layers,yelp_full_v1_seq_num_layers_2_s2050,skipped_reused,0,0.00,0.014800,0.000800,0.520000,0.203600,0.000000,0.000500,TEST,FINAL,reused_log=../04-02-04_01 yelp_full_v1_seq_num_layers_2_s2050(2050).log,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path /root/autodl-tmp/MyCrossCity/Yelp/spottrip_baseline_split.pkl --device cuda:0 --name yelp_full_v1_seq_num_layers_2_s2050 --save_path ../../Yelp/model_save_new --dataset_name Yelp --ori_data ../../Yelp/home.txt --dst_data ../../Yelp/oot.txt --trans_data ../../Yelp/travel.txt --ori_data_enriched ../../Yelp/extendData/enriched_home.txt --dst_data_enriched ../../Yelp/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-1.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 2 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.13266038732619795 --temperature 0.09096176093766724 --enable_pairwise_loss 1 --lambda_pair 0.07415356011717347 --pair_max_future 4 --lambda_transition 0.11150286871666779 --transition_logit_scale 0.1134787841314744 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.4422800705989885 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --epoch 30 --stop_epoch 8 --lr 0.0004421206523113628 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric combo --combo_beta 4.0 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
hparam_seq_num_layers,yelp_full_v1_seq_num_layers_3_s2050,skipped_reused,0,0.00,0.015100,0.002600,0.519300,0.205200,0.000000,0.003400,TEST,FINAL,reused_log=../04-02-04_10 yelp_full_v1_seq_num_layers_3_s2050(2050).log,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path /root/autodl-tmp/MyCrossCity/Yelp/spottrip_baseline_split.pkl --device cuda:0 --name yelp_full_v1_seq_num_layers_3_s2050 --save_path ../../Yelp/model_save_new --dataset_name Yelp --ori_data ../../Yelp/home.txt --dst_data ../../Yelp/oot.txt --trans_data ../../Yelp/travel.txt --ori_data_enriched ../../Yelp/extendData/enriched_home.txt --dst_data_enriched ../../Yelp/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-1.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 3 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.13266038732619795 --temperature 0.09096176093766724 --enable_pairwise_loss 1 --lambda_pair 0.07415356011717347 --pair_max_future 4 --lambda_transition 0.11150286871666779 --transition_logit_scale 0.1134787841314744 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.4422800705989885 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --epoch 30 --stop_epoch 8 --lr 0.0004421206523113628 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric combo --combo_beta 4.0 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
hparam_transition_strength,yelp_full_v1_trans_strength_x0.5_s2050,skipped_reused,0,0.00,0.014400,0.000700,0.519600,0.203400,0.000000,0.001100,TEST,FINAL,reused_log=../04-02-04_20 yelp_full_v1_trans_strength_x0.5_s2050(2050).log,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path /root/autodl-tmp/MyCrossCity/Yelp/spottrip_baseline_split.pkl --device cuda:0 --name yelp_full_v1_trans_strength_x0.5_s2050 --save_path ../../Yelp/model_save_new --dataset_name Yelp --ori_data ../../Yelp/home.txt --dst_data ../../Yelp/oot.txt --trans_data ../../Yelp/travel.txt --ori_data_enriched ../../Yelp/extendData/enriched_home.txt --dst_data_enriched ../../Yelp/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-1.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 2 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.13266038732619795 --temperature 0.09096176093766724 --enable_pairwise_loss 1 --lambda_pair 0.07415356011717347 --pair_max_future 4 --lambda_transition 0.05575143435833389 --transition_logit_scale 0.0567393920657372 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.4422800705989885 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --epoch 30 --stop_epoch 8 --lr 0.0004421206523113628 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric combo --combo_beta 4.0 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
