group,exp_name,status,return_code,duration_sec,f1,pairs_f1,full_f1,full_pairs_f1,rep,full_rep,picked_split,picked_epoch,notes,cmd
ablation,fsq_both_pipeline_v1_ablation_full_s2050,ok,0,515.18,0.035900,0.001300,0.540800,0.232300,0.000000,0.069900,TEST,FINAL,,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path ../../Foursquare/data_split_new.pkl --device cuda:0 --name fsq_both_pipeline_v1_ablation_full_s2050 --save_path ../../Foursquare/model_save_new --dataset_name Foursquare --ori_data ../../Foursquare/home.txt --dst_data ../../Foursquare/oot.txt --trans_data ../../Foursquare/travel.txt --ori_data_enriched ../../Foursquare/extendData/enriched_home.txt --dst_data_enriched ../../Foursquare/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-1.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 3 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.13030822625040137 --temperature 0.06413239744570416 --enable_pairwise_loss 1 --lambda_pair 0.049009977603333685 --pair_max_future 6 --lambda_transition 0.1374167334183384 --transition_logit_scale 0.2222178005094156 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.44349753088705746 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --decode_constraint_mode soft --soft_constraint_scale 0.07498466069744883 --soft_constraint_dist_emb_dim 32 --ablate_generator_no_spatial_context 0 --epoch 30 --stop_epoch 8 --lr 0.0004562487002247504 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric full_pairs_f1 --combo_beta 2.0984134923431585 --use_f1_floor_filter 0 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
ablation,fsq_both_pipeline_v1_ablation_no_llm_semantic_s2050,ok,0,266.42,0.036900,0.001300,0.541300,0.232000,0.000000,0.056100,TEST,FINAL,,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path ../../Foursquare/data_split_new.pkl --device cuda:0 --name fsq_both_pipeline_v1_ablation_no_llm_semantic_s2050 --save_path ../../Foursquare/model_save_new --dataset_name Foursquare --ori_data ../../Foursquare/home.txt --dst_data ../../Foursquare/oot.txt --trans_data ../../Foursquare/travel.txt --ori_data_enriched ../../Foursquare/extendData/enriched_home.txt --dst_data_enriched ../../Foursquare/extendData/enriched_oot.txt --semantic_backend fallback --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-1.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 3 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.13030822625040137 --temperature 0.06413239744570416 --enable_pairwise_loss 1 --lambda_pair 0.049009977603333685 --pair_max_future 6 --lambda_transition 0.1374167334183384 --transition_logit_scale 0.2222178005094156 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.44349753088705746 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --decode_constraint_mode soft --soft_constraint_scale 0.07498466069744883 --soft_constraint_dist_emb_dim 32 --ablate_generator_no_spatial_context 0 --epoch 30 --stop_epoch 8 --lr 0.0004562487002247504 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric full_pairs_f1 --combo_beta 2.0984134923431585 --use_f1_floor_filter 0 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
ablation,fsq_both_pipeline_v1_ablation_no_disentangle_transfer_s2050,ok,0,692.27,0.034600,0.000900,0.539600,0.230500,0.000000,0.068700,TEST,FINAL,,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path ../../Foursquare/data_split_new.pkl --device cuda:0 --name fsq_both_pipeline_v1_ablation_no_disentangle_transfer_s2050 --save_path ../../Foursquare/model_save_new --dataset_name Foursquare --ori_data ../../Foursquare/home.txt --dst_data ../../Foursquare/oot.txt --trans_data ../../Foursquare/travel.txt --ori_data_enriched ../../Foursquare/extendData/enriched_home.txt --dst_data_enriched ../../Foursquare/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-1.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 3 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.13030822625040137 --temperature 0.06413239744570416 --enable_pairwise_loss 1 --lambda_pair 0.049009977603333685 --pair_max_future 6 --lambda_transition 0.1374167334183384 --transition_logit_scale 0.2222178005094156 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.44349753088705746 --use_no_repeat_mask 1 --pref_factor_k 1 --lambda_decouple 0.0 --lambda_semantic 0.0 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --decode_constraint_mode soft --soft_constraint_scale 0.07498466069744883 --soft_constraint_dist_emb_dim 32 --ablate_generator_no_spatial_context 0 --epoch 30 --stop_epoch 8 --lr 0.0004562487002247504 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric full_pairs_f1 --combo_beta 2.0984134923431585 --use_f1_floor_filter 0 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
ablation,fsq_both_pipeline_v1_ablation_no_city_group_pref_s2050,ok,0,626.44,0.018700,0.000200,0.528800,0.219200,0.000000,0.044900,TEST,FINAL,,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path ../../Foursquare/data_split_new.pkl --device cuda:0 --name fsq_both_pipeline_v1_ablation_no_city_group_pref_s2050 --save_path ../../Foursquare/model_save_new --dataset_name Foursquare --ori_data ../../Foursquare/home.txt --dst_data ../../Foursquare/oot.txt --trans_data ../../Foursquare/travel.txt --ori_data_enriched ../../Foursquare/extendData/enriched_home.txt --dst_data_enriched ../../Foursquare/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-1.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 3 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.13030822625040137 --temperature 0.06413239744570416 --enable_pairwise_loss 1 --lambda_pair 0.049009977603333685 --pair_max_future 6 --lambda_transition 0.1374167334183384 --transition_logit_scale 0.2222178005094156 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.44349753088705746 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed 1.0 --enforce_start_end_constraints 1 --decode_constraint_mode soft --soft_constraint_scale 0.07498466069744883 --soft_constraint_dist_emb_dim 32 --ablate_generator_no_spatial_context 0 --epoch 30 --stop_epoch 8 --lr 0.0004562487002247504 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric full_pairs_f1 --combo_beta 2.0984134923431585 --use_f1_floor_filter 0 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
ablation,fsq_both_pipeline_v1_ablation_no_generator_constraints_s2050,ok,0,533.35,0.035700,0.002300,0.541100,0.238600,0.000000,0.081800,TEST,FINAL,,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path ../../Foursquare/data_split_new.pkl --device cuda:0 --name fsq_both_pipeline_v1_ablation_no_generator_constraints_s2050 --save_path ../../Foursquare/model_save_new --dataset_name Foursquare --ori_data ../../Foursquare/home.txt --dst_data ../../Foursquare/oot.txt --trans_data ../../Foursquare/travel.txt --ori_data_enriched ../../Foursquare/extendData/enriched_home.txt --dst_data_enriched ../../Foursquare/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-1.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 3 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.13030822625040137 --temperature 0.06413239744570416 --enable_pairwise_loss 1 --lambda_pair 0.049009977603333685 --pair_max_future 6 --lambda_transition 0.1374167334183384 --transition_logit_scale 0.2222178005094156 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.44349753088705746 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --decode_constraint_mode soft --soft_constraint_scale 0.07498466069744883 --soft_constraint_dist_emb_dim 32 --ablate_generator_no_spatial_context 1 --epoch 30 --stop_epoch 8 --lr 0.0004562487002247504 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric full_pairs_f1 --combo_beta 2.0984134923431585 --use_f1_floor_filter 0 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
ablation,fsq_both_pipeline_v1_ablation_hard_constraint_variant_s2050,ok,0,472.70,0.046800,0.004400,0.479300,0.179900,0.000000,0.014900,TEST,FINAL,,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path ../../Foursquare/data_split_new.pkl --device cuda:0 --name fsq_both_pipeline_v1_ablation_hard_constraint_variant_s2050 --save_path ../../Foursquare/model_save_new --dataset_name Foursquare --ori_data ../../Foursquare/home.txt --dst_data ../../Foursquare/oot.txt --trans_data ../../Foursquare/travel.txt --ori_data_enriched ../../Foursquare/extendData/enriched_home.txt --dst_data_enriched ../../Foursquare/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-1.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 3 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.13030822625040137 --temperature 0.06413239744570416 --enable_pairwise_loss 1 --lambda_pair 0.049009977603333685 --pair_max_future 6 --lambda_transition 0.1374167334183384 --transition_logit_scale 0.2222178005094156 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.44349753088705746 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --decode_constraint_mode hard --soft_constraint_scale 0.07498466069744883 --soft_constraint_dist_emb_dim 32 --ablate_generator_no_spatial_context 0 --epoch 30 --stop_epoch 8 --lr 0.0004562487002247504 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric full_pairs_f1 --combo_beta 2.0984134923431585 --use_f1_floor_filter 0 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
hparam_seq_num_layers,fsq_both_pipeline_v1_ablation_seq_num_layers_1_s2050,ok,0,404.17,0.035300,0.003300,0.540000,0.229400,0.000000,0.051600,TEST,FINAL,,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path ../../Foursquare/data_split_new.pkl --device cuda:0 --name fsq_both_pipeline_v1_ablation_seq_num_layers_1_s2050 --save_path ../../Foursquare/model_save_new --dataset_name Foursquare --ori_data ../../Foursquare/home.txt --dst_data ../../Foursquare/oot.txt --trans_data ../../Foursquare/travel.txt --ori_data_enriched ../../Foursquare/extendData/enriched_home.txt --dst_data_enriched ../../Foursquare/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-1.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 1 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.13030822625040137 --temperature 0.06413239744570416 --enable_pairwise_loss 1 --lambda_pair 0.049009977603333685 --pair_max_future 6 --lambda_transition 0.1374167334183384 --transition_logit_scale 0.2222178005094156 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.44349753088705746 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --decode_constraint_mode soft --soft_constraint_scale 0.07498466069744883 --soft_constraint_dist_emb_dim 32 --ablate_generator_no_spatial_context 0 --epoch 30 --stop_epoch 8 --lr 0.0004562487002247504 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric full_pairs_f1 --combo_beta 2.0984134923431585 --use_f1_floor_filter 0 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
hparam_seq_num_layers,fsq_both_pipeline_v1_ablation_seq_num_layers_2_s2050,ok,0,529.99,0.040000,0.001900,0.542400,0.231600,0.000000,0.050300,TEST,FINAL,,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path ../../Foursquare/data_split_new.pkl --device cuda:0 --name fsq_both_pipeline_v1_ablation_seq_num_layers_2_s2050 --save_path ../../Foursquare/model_save_new --dataset_name Foursquare --ori_data ../../Foursquare/home.txt --dst_data ../../Foursquare/oot.txt --trans_data ../../Foursquare/travel.txt --ori_data_enriched ../../Foursquare/extendData/enriched_home.txt --dst_data_enriched ../../Foursquare/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-1.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 2 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.13030822625040137 --temperature 0.06413239744570416 --enable_pairwise_loss 1 --lambda_pair 0.049009977603333685 --pair_max_future 6 --lambda_transition 0.1374167334183384 --transition_logit_scale 0.2222178005094156 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.44349753088705746 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --decode_constraint_mode soft --soft_constraint_scale 0.07498466069744883 --soft_constraint_dist_emb_dim 32 --ablate_generator_no_spatial_context 0 --epoch 30 --stop_epoch 8 --lr 0.0004562487002247504 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric full_pairs_f1 --combo_beta 2.0984134923431585 --use_f1_floor_filter 0 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
hparam_seq_num_layers,fsq_both_pipeline_v1_ablation_seq_num_layers_3_s2050,ok,0,494.58,0.035900,0.001300,0.540800,0.232300,0.000000,0.069400,TEST,FINAL,,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path ../../Foursquare/data_split_new.pkl --device cuda:0 --name fsq_both_pipeline_v1_ablation_seq_num_layers_3_s2050 --save_path ../../Foursquare/model_save_new --dataset_name Foursquare --ori_data ../../Foursquare/home.txt --dst_data ../../Foursquare/oot.txt --trans_data ../../Foursquare/travel.txt --ori_data_enriched ../../Foursquare/extendData/enriched_home.txt --dst_data_enriched ../../Foursquare/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-1.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 3 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.13030822625040137 --temperature 0.06413239744570416 --enable_pairwise_loss 1 --lambda_pair 0.049009977603333685 --pair_max_future 6 --lambda_transition 0.1374167334183384 --transition_logit_scale 0.2222178005094156 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.44349753088705746 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --decode_constraint_mode soft --soft_constraint_scale 0.07498466069744883 --soft_constraint_dist_emb_dim 32 --ablate_generator_no_spatial_context 0 --epoch 30 --stop_epoch 8 --lr 0.0004562487002247504 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric full_pairs_f1 --combo_beta 2.0984134923431585 --use_f1_floor_filter 0 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
hparam_transition_strength,fsq_both_pipeline_v1_ablation_trans_strength_x1_s2050,ok,0,483.81,0.035900,0.001300,0.540800,0.232300,0.000000,0.069900,TEST,FINAL,,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path ../../Foursquare/data_split_new.pkl --device cuda:0 --name fsq_both_pipeline_v1_ablation_trans_strength_x1_s2050 --save_path ../../Foursquare/model_save_new --dataset_name Foursquare --ori_data ../../Foursquare/home.txt --dst_data ../../Foursquare/oot.txt --trans_data ../../Foursquare/travel.txt --ori_data_enriched ../../Foursquare/extendData/enriched_home.txt --dst_data_enriched ../../Foursquare/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-1.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 3 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.13030822625040137 --temperature 0.06413239744570416 --enable_pairwise_loss 1 --lambda_pair 0.049009977603333685 --pair_max_future 6 --lambda_transition 0.1374167334183384 --transition_logit_scale 0.2222178005094156 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.44349753088705746 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --decode_constraint_mode soft --soft_constraint_scale 0.07498466069744883 --soft_constraint_dist_emb_dim 32 --ablate_generator_no_spatial_context 0 --epoch 30 --stop_epoch 8 --lr 0.0004562487002247504 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric full_pairs_f1 --combo_beta 2.0984134923431585 --use_f1_floor_filter 0 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
