group,exp_name,status,return_code,duration_sec,f1,pairs_f1,full_f1,full_pairs_f1,rep,full_rep,picked_split,picked_epoch,notes,cmd
ablation,fsq_soft_pipeline_v1_ablation_full_s2050,ok,0,521.87,0.030000,0.000500,0.536600,0.223900,0.000000,0.043400,TEST,FINAL,,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path /root/autodl-tmp/MyCrossCity/code/new_citypref_llm/data_split_new.pkl --device cuda:0 --name fsq_soft_pipeline_v1_ablation_full_s2050 --save_path ../../Foursquare/model_save_new --dataset_name Foursquare --ori_data ../../Foursquare/home.txt --dst_data ../../Foursquare/oot.txt --trans_data ../../Foursquare/travel.txt --ori_data_enriched ../../Foursquare/extendData/enriched_home.txt --dst_data_enriched ../../Foursquare/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-0.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 3 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.16266454424451948 --temperature 0.09317100529492414 --enable_pairwise_loss 1 --lambda_pair 0.18934240398207877 --pair_max_future 4 --lambda_transition 0.052888310885315946 --transition_logit_scale 0.2885730879561912 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.4539723779761229 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --decode_constraint_mode soft --soft_constraint_scale 0.07462942141466841 --soft_constraint_dist_emb_dim 32 --epoch 30 --stop_epoch 8 --lr 0.000309272394422365 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric full_pairs_f1 --combo_beta 4.0 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
ablation,fsq_soft_pipeline_v1_ablation_no_llm_semantic_s2050,ok,0,242.09,0.028400,0.001400,0.536900,0.225500,0.000000,0.052400,TEST,FINAL,,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path /root/autodl-tmp/MyCrossCity/code/new_citypref_llm/data_split_new.pkl --device cuda:0 --name fsq_soft_pipeline_v1_ablation_no_llm_semantic_s2050 --save_path ../../Foursquare/model_save_new --dataset_name Foursquare --ori_data ../../Foursquare/home.txt --dst_data ../../Foursquare/oot.txt --trans_data ../../Foursquare/travel.txt --ori_data_enriched ../../Foursquare/extendData/enriched_home.txt --dst_data_enriched ../../Foursquare/extendData/enriched_oot.txt --semantic_backend fallback --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-0.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 3 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.16266454424451948 --temperature 0.09317100529492414 --enable_pairwise_loss 1 --lambda_pair 0.18934240398207877 --pair_max_future 4 --lambda_transition 0.052888310885315946 --transition_logit_scale 0.2885730879561912 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.4539723779761229 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --decode_constraint_mode soft --soft_constraint_scale 0.07462942141466841 --soft_constraint_dist_emb_dim 32 --epoch 30 --stop_epoch 8 --lr 0.000309272394422365 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric full_pairs_f1 --combo_beta 4.0 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
ablation,fsq_soft_pipeline_v1_ablation_no_disentangle_transfer_s2050,ok,0,571.27,0.027400,0.002100,0.535700,0.223700,0.000000,0.046500,TEST,FINAL,,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path /root/autodl-tmp/MyCrossCity/code/new_citypref_llm/data_split_new.pkl --device cuda:0 --name fsq_soft_pipeline_v1_ablation_no_disentangle_transfer_s2050 --save_path ../../Foursquare/model_save_new --dataset_name Foursquare --ori_data ../../Foursquare/home.txt --dst_data ../../Foursquare/oot.txt --trans_data ../../Foursquare/travel.txt --ori_data_enriched ../../Foursquare/extendData/enriched_home.txt --dst_data_enriched ../../Foursquare/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-0.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 3 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.16266454424451948 --temperature 0.09317100529492414 --enable_pairwise_loss 1 --lambda_pair 0.18934240398207877 --pair_max_future 4 --lambda_transition 0.052888310885315946 --transition_logit_scale 0.2885730879561912 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.4539723779761229 --use_no_repeat_mask 1 --pref_factor_k 1 --lambda_decouple 0.0 --lambda_semantic 0.0 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --decode_constraint_mode soft --soft_constraint_scale 0.07462942141466841 --soft_constraint_dist_emb_dim 32 --epoch 30 --stop_epoch 8 --lr 0.000309272394422365 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric full_pairs_f1 --combo_beta 4.0 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
ablation,fsq_soft_pipeline_v1_ablation_no_city_group_pref_s2050,ok,0,849.57,0.013900,0.001300,0.526200,0.214000,0.000000,0.038400,TEST,FINAL,,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path /root/autodl-tmp/MyCrossCity/code/new_citypref_llm/data_split_new.pkl --device cuda:0 --name fsq_soft_pipeline_v1_ablation_no_city_group_pref_s2050 --save_path ../../Foursquare/model_save_new --dataset_name Foursquare --ori_data ../../Foursquare/home.txt --dst_data ../../Foursquare/oot.txt --trans_data ../../Foursquare/travel.txt --ori_data_enriched ../../Foursquare/extendData/enriched_home.txt --dst_data_enriched ../../Foursquare/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-0.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 3 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.16266454424451948 --temperature 0.09317100529492414 --enable_pairwise_loss 1 --lambda_pair 0.18934240398207877 --pair_max_future 4 --lambda_transition 0.052888310885315946 --transition_logit_scale 0.2885730879561912 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.4539723779761229 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed 1.0 --enforce_start_end_constraints 1 --decode_constraint_mode soft --soft_constraint_scale 0.07462942141466841 --soft_constraint_dist_emb_dim 32 --epoch 30 --stop_epoch 8 --lr 0.000309272394422365 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric full_pairs_f1 --combo_beta 4.0 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
ablation,fsq_soft_pipeline_v1_ablation_no_generator_constraints_s2050,ok,0,523.87,0.029800,0.000500,0.535600,0.224700,0.000000,0.042900,TEST,FINAL,,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path /root/autodl-tmp/MyCrossCity/code/new_citypref_llm/data_split_new.pkl --device cuda:0 --name fsq_soft_pipeline_v1_ablation_no_generator_constraints_s2050 --save_path ../../Foursquare/model_save_new --dataset_name Foursquare --ori_data ../../Foursquare/home.txt --dst_data ../../Foursquare/oot.txt --trans_data ../../Foursquare/travel.txt --ori_data_enriched ../../Foursquare/extendData/enriched_home.txt --dst_data_enriched ../../Foursquare/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-0.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 3 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.16266454424451948 --temperature 0.09317100529492414 --enable_pairwise_loss 1 --lambda_pair 0.18934240398207877 --pair_max_future 4 --lambda_transition 0.052888310885315946 --transition_logit_scale 0.2885730879561912 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.4539723779761229 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 0 --decode_constraint_mode soft --soft_constraint_scale 0.0 --soft_constraint_dist_emb_dim 32 --epoch 30 --stop_epoch 8 --lr 0.000309272394422365 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric full_pairs_f1 --combo_beta 4.0 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
ablation,fsq_soft_pipeline_v1_ablation_hard_constraint_variant_s2050,ok,0,484.40,0.041200,0.006300,0.475000,0.172100,0.000000,0.008300,TEST,FINAL,,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path /root/autodl-tmp/MyCrossCity/code/new_citypref_llm/data_split_new.pkl --device cuda:0 --name fsq_soft_pipeline_v1_ablation_hard_constraint_variant_s2050 --save_path ../../Foursquare/model_save_new --dataset_name Foursquare --ori_data ../../Foursquare/home.txt --dst_data ../../Foursquare/oot.txt --trans_data ../../Foursquare/travel.txt --ori_data_enriched ../../Foursquare/extendData/enriched_home.txt --dst_data_enriched ../../Foursquare/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-0.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 3 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.16266454424451948 --temperature 0.09317100529492414 --enable_pairwise_loss 1 --lambda_pair 0.18934240398207877 --pair_max_future 4 --lambda_transition 0.052888310885315946 --transition_logit_scale 0.2885730879561912 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.4539723779761229 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --decode_constraint_mode hard --soft_constraint_scale 0.07462942141466841 --soft_constraint_dist_emb_dim 32 --epoch 30 --stop_epoch 8 --lr 0.000309272394422365 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric full_pairs_f1 --combo_beta 4.0 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
hparam_seq_num_layers,fsq_soft_pipeline_v1_ablation_seq_num_layers_1_s2050,ok,0,448.09,0.032800,0.001800,0.538000,0.226100,0.000000,0.049300,TEST,FINAL,,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path /root/autodl-tmp/MyCrossCity/code/new_citypref_llm/data_split_new.pkl --device cuda:0 --name fsq_soft_pipeline_v1_ablation_seq_num_layers_1_s2050 --save_path ../../Foursquare/model_save_new --dataset_name Foursquare --ori_data ../../Foursquare/home.txt --dst_data ../../Foursquare/oot.txt --trans_data ../../Foursquare/travel.txt --ori_data_enriched ../../Foursquare/extendData/enriched_home.txt --dst_data_enriched ../../Foursquare/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-0.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 1 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.16266454424451948 --temperature 0.09317100529492414 --enable_pairwise_loss 1 --lambda_pair 0.18934240398207877 --pair_max_future 4 --lambda_transition 0.052888310885315946 --transition_logit_scale 0.2885730879561912 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.4539723779761229 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --decode_constraint_mode soft --soft_constraint_scale 0.07462942141466841 --soft_constraint_dist_emb_dim 32 --epoch 30 --stop_epoch 8 --lr 0.000309272394422365 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric full_pairs_f1 --combo_beta 4.0 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
hparam_seq_num_layers,fsq_soft_pipeline_v1_ablation_seq_num_layers_2_s2050,ok,0,418.07,0.030800,0.000900,0.536900,0.222200,0.000000,0.039600,TEST,FINAL,,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path /root/autodl-tmp/MyCrossCity/code/new_citypref_llm/data_split_new.pkl --device cuda:0 --name fsq_soft_pipeline_v1_ablation_seq_num_layers_2_s2050 --save_path ../../Foursquare/model_save_new --dataset_name Foursquare --ori_data ../../Foursquare/home.txt --dst_data ../../Foursquare/oot.txt --trans_data ../../Foursquare/travel.txt --ori_data_enriched ../../Foursquare/extendData/enriched_home.txt --dst_data_enriched ../../Foursquare/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-0.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 2 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.16266454424451948 --temperature 0.09317100529492414 --enable_pairwise_loss 1 --lambda_pair 0.18934240398207877 --pair_max_future 4 --lambda_transition 0.052888310885315946 --transition_logit_scale 0.2885730879561912 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.4539723779761229 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --decode_constraint_mode soft --soft_constraint_scale 0.07462942141466841 --soft_constraint_dist_emb_dim 32 --epoch 30 --stop_epoch 8 --lr 0.000309272394422365 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric full_pairs_f1 --combo_beta 4.0 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
hparam_seq_num_layers,fsq_soft_pipeline_v1_ablation_seq_num_layers_3_s2050,ok,0,523.62,0.030000,0.000500,0.536600,0.223900,0.000000,0.043400,TEST,FINAL,,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path /root/autodl-tmp/MyCrossCity/code/new_citypref_llm/data_split_new.pkl --device cuda:0 --name fsq_soft_pipeline_v1_ablation_seq_num_layers_3_s2050 --save_path ../../Foursquare/model_save_new --dataset_name Foursquare --ori_data ../../Foursquare/home.txt --dst_data ../../Foursquare/oot.txt --trans_data ../../Foursquare/travel.txt --ori_data_enriched ../../Foursquare/extendData/enriched_home.txt --dst_data_enriched ../../Foursquare/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-0.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 3 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.16266454424451948 --temperature 0.09317100529492414 --enable_pairwise_loss 1 --lambda_pair 0.18934240398207877 --pair_max_future 4 --lambda_transition 0.052888310885315946 --transition_logit_scale 0.2885730879561912 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.4539723779761229 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --decode_constraint_mode soft --soft_constraint_scale 0.07462942141466841 --soft_constraint_dist_emb_dim 32 --epoch 30 --stop_epoch 8 --lr 0.000309272394422365 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric full_pairs_f1 --combo_beta 4.0 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
hparam_transition_strength,fsq_soft_pipeline_v1_ablation_trans_strength_x0.5_s2050,ok,0,566.25,0.031500,0.000800,0.537600,0.227100,0.000000,0.054800,TEST,FINAL,,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path /root/autodl-tmp/MyCrossCity/code/new_citypref_llm/data_split_new.pkl --device cuda:0 --name fsq_soft_pipeline_v1_ablation_trans_strength_x0.5_s2050 --save_path ../../Foursquare/model_save_new --dataset_name Foursquare --ori_data ../../Foursquare/home.txt --dst_data ../../Foursquare/oot.txt --trans_data ../../Foursquare/travel.txt --ori_data_enriched ../../Foursquare/extendData/enriched_home.txt --dst_data_enriched ../../Foursquare/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-0.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 3 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.16266454424451948 --temperature 0.09317100529492414 --enable_pairwise_loss 1 --lambda_pair 0.18934240398207877 --pair_max_future 4 --lambda_transition 0.026444155442657973 --transition_logit_scale 0.1442865439780956 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.4539723779761229 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --decode_constraint_mode soft --soft_constraint_scale 0.07462942141466841 --soft_constraint_dist_emb_dim 32 --epoch 30 --stop_epoch 8 --lr 0.000309272394422365 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric full_pairs_f1 --combo_beta 4.0 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
