group,exp_name,status,return_code,duration_sec,f1,pairs_f1,full_f1,full_pairs_f1,rep,full_rep,picked_split,picked_epoch,notes,cmd
ablation,yelp_soft_pipeline_v1_ablation_full_s2050,ok,0,639.01,0.007300,0.000400,0.597800,0.281700,0.000000,0.020900,TEST,FINAL,,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path /root/autodl-tmp/MyCrossCity/Yelp/spottrip_baseline_split.pkl --device cuda:0 --name yelp_soft_pipeline_v1_ablation_full_s2050 --save_path ../../Yelp/model_save_new --dataset_name Yelp --ori_data ../../Yelp/home.txt --dst_data ../../Yelp/oot.txt --trans_data ../../Yelp/travel.txt --ori_data_enriched ../../Yelp/extendData/enriched_home.txt --dst_data_enriched ../../Yelp/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-1.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 3 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.19870688874069625 --temperature 0.09073104164491952 --enable_pairwise_loss 1 --lambda_pair 0.14146035888136166 --pair_max_future 6 --lambda_transition 0.05573173796754207 --transition_logit_scale 0.05749702283258237 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.5933113553841403 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --decode_constraint_mode soft --soft_constraint_scale 0.0011742263783192195 --soft_constraint_dist_emb_dim 16 --epoch 30 --stop_epoch 8 --lr 0.00030668492537806405 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric full_pairs_f1 --combo_beta 3.974611656262081 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
ablation,yelp_soft_pipeline_v1_ablation_no_llm_semantic_s2050,ok,0,268.28,0.009300,0.000100,0.598500,0.282900,0.000000,0.019600,TEST,FINAL,,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path /root/autodl-tmp/MyCrossCity/Yelp/spottrip_baseline_split.pkl --device cuda:0 --name yelp_soft_pipeline_v1_ablation_no_llm_semantic_s2050 --save_path ../../Yelp/model_save_new --dataset_name Yelp --ori_data ../../Yelp/home.txt --dst_data ../../Yelp/oot.txt --trans_data ../../Yelp/travel.txt --ori_data_enriched ../../Yelp/extendData/enriched_home.txt --dst_data_enriched ../../Yelp/extendData/enriched_oot.txt --semantic_backend fallback --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-1.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 3 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.19870688874069625 --temperature 0.09073104164491952 --enable_pairwise_loss 1 --lambda_pair 0.14146035888136166 --pair_max_future 6 --lambda_transition 0.05573173796754207 --transition_logit_scale 0.05749702283258237 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.5933113553841403 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --decode_constraint_mode soft --soft_constraint_scale 0.0011742263783192195 --soft_constraint_dist_emb_dim 16 --epoch 30 --stop_epoch 8 --lr 0.00030668492537806405 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric full_pairs_f1 --combo_beta 3.974611656262081 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
ablation,yelp_soft_pipeline_v1_ablation_no_disentangle_transfer_s2050,ok,0,723.65,0.009700,0.000300,0.599000,0.283700,0.000000,0.021800,TEST,FINAL,,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path /root/autodl-tmp/MyCrossCity/Yelp/spottrip_baseline_split.pkl --device cuda:0 --name yelp_soft_pipeline_v1_ablation_no_disentangle_transfer_s2050 --save_path ../../Yelp/model_save_new --dataset_name Yelp --ori_data ../../Yelp/home.txt --dst_data ../../Yelp/oot.txt --trans_data ../../Yelp/travel.txt --ori_data_enriched ../../Yelp/extendData/enriched_home.txt --dst_data_enriched ../../Yelp/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-1.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 3 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.19870688874069625 --temperature 0.09073104164491952 --enable_pairwise_loss 1 --lambda_pair 0.14146035888136166 --pair_max_future 6 --lambda_transition 0.05573173796754207 --transition_logit_scale 0.05749702283258237 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.5933113553841403 --use_no_repeat_mask 1 --pref_factor_k 1 --lambda_decouple 0.0 --lambda_semantic 0.0 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --decode_constraint_mode soft --soft_constraint_scale 0.0011742263783192195 --soft_constraint_dist_emb_dim 16 --epoch 30 --stop_epoch 8 --lr 0.00030668492537806405 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric full_pairs_f1 --combo_beta 3.974611656262081 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
ablation,yelp_soft_pipeline_v1_ablation_no_city_group_pref_s2050,ok,0,850.02,0.005200,0.000200,0.596500,0.278900,0.000000,0.017500,TEST,FINAL,,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path /root/autodl-tmp/MyCrossCity/Yelp/spottrip_baseline_split.pkl --device cuda:0 --name yelp_soft_pipeline_v1_ablation_no_city_group_pref_s2050 --save_path ../../Yelp/model_save_new --dataset_name Yelp --ori_data ../../Yelp/home.txt --dst_data ../../Yelp/oot.txt --trans_data ../../Yelp/travel.txt --ori_data_enriched ../../Yelp/extendData/enriched_home.txt --dst_data_enriched ../../Yelp/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-1.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 3 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.19870688874069625 --temperature 0.09073104164491952 --enable_pairwise_loss 1 --lambda_pair 0.14146035888136166 --pair_max_future 6 --lambda_transition 0.05573173796754207 --transition_logit_scale 0.05749702283258237 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.5933113553841403 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed 1.0 --enforce_start_end_constraints 1 --decode_constraint_mode soft --soft_constraint_scale 0.0011742263783192195 --soft_constraint_dist_emb_dim 16 --epoch 30 --stop_epoch 8 --lr 0.00030668492537806405 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric full_pairs_f1 --combo_beta 3.974611656262081 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
ablation,yelp_soft_pipeline_v1_ablation_no_generator_constraints_s2050,ok,0,642.37,0.006200,0.000300,0.597300,0.281000,0.000000,0.020800,TEST,FINAL,,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path /root/autodl-tmp/MyCrossCity/Yelp/spottrip_baseline_split.pkl --device cuda:0 --name yelp_soft_pipeline_v1_ablation_no_generator_constraints_s2050 --save_path ../../Yelp/model_save_new --dataset_name Yelp --ori_data ../../Yelp/home.txt --dst_data ../../Yelp/oot.txt --trans_data ../../Yelp/travel.txt --ori_data_enriched ../../Yelp/extendData/enriched_home.txt --dst_data_enriched ../../Yelp/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-1.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 3 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.19870688874069625 --temperature 0.09073104164491952 --enable_pairwise_loss 1 --lambda_pair 0.14146035888136166 --pair_max_future 6 --lambda_transition 0.05573173796754207 --transition_logit_scale 0.05749702283258237 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.5933113553841403 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 0 --decode_constraint_mode soft --soft_constraint_scale 0.0 --soft_constraint_dist_emb_dim 16 --epoch 30 --stop_epoch 8 --lr 0.00030668492537806405 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric full_pairs_f1 --combo_beta 3.974611656262081 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
ablation,yelp_soft_pipeline_v1_ablation_hard_constraint_variant_s2050,ok,0,680.90,0.013700,0.000200,0.519300,0.202500,0.000000,0.001200,TEST,FINAL,,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path /root/autodl-tmp/MyCrossCity/Yelp/spottrip_baseline_split.pkl --device cuda:0 --name yelp_soft_pipeline_v1_ablation_hard_constraint_variant_s2050 --save_path ../../Yelp/model_save_new --dataset_name Yelp --ori_data ../../Yelp/home.txt --dst_data ../../Yelp/oot.txt --trans_data ../../Yelp/travel.txt --ori_data_enriched ../../Yelp/extendData/enriched_home.txt --dst_data_enriched ../../Yelp/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-1.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 3 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.19870688874069625 --temperature 0.09073104164491952 --enable_pairwise_loss 1 --lambda_pair 0.14146035888136166 --pair_max_future 6 --lambda_transition 0.05573173796754207 --transition_logit_scale 0.05749702283258237 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.5933113553841403 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --decode_constraint_mode hard --soft_constraint_scale 0.0011742263783192195 --soft_constraint_dist_emb_dim 16 --epoch 30 --stop_epoch 8 --lr 0.00030668492537806405 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric full_pairs_f1 --combo_beta 3.974611656262081 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
hparam_seq_num_layers,yelp_soft_pipeline_v1_ablation_seq_num_layers_1_s2050,ok,0,672.19,0.010400,0.000500,0.599500,0.283300,0.000000,0.019000,TEST,FINAL,,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path /root/autodl-tmp/MyCrossCity/Yelp/spottrip_baseline_split.pkl --device cuda:0 --name yelp_soft_pipeline_v1_ablation_seq_num_layers_1_s2050 --save_path ../../Yelp/model_save_new --dataset_name Yelp --ori_data ../../Yelp/home.txt --dst_data ../../Yelp/oot.txt --trans_data ../../Yelp/travel.txt --ori_data_enriched ../../Yelp/extendData/enriched_home.txt --dst_data_enriched ../../Yelp/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-1.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 1 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.19870688874069625 --temperature 0.09073104164491952 --enable_pairwise_loss 1 --lambda_pair 0.14146035888136166 --pair_max_future 6 --lambda_transition 0.05573173796754207 --transition_logit_scale 0.05749702283258237 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.5933113553841403 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --decode_constraint_mode soft --soft_constraint_scale 0.0011742263783192195 --soft_constraint_dist_emb_dim 16 --epoch 30 --stop_epoch 8 --lr 0.00030668492537806405 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric full_pairs_f1 --combo_beta 3.974611656262081 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
hparam_seq_num_layers,yelp_soft_pipeline_v1_ablation_seq_num_layers_2_s2050,ok,0,523.80,0.005200,0.000200,0.596500,0.279500,0.000000,0.018300,TEST,FINAL,,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path /root/autodl-tmp/MyCrossCity/Yelp/spottrip_baseline_split.pkl --device cuda:0 --name yelp_soft_pipeline_v1_ablation_seq_num_layers_2_s2050 --save_path ../../Yelp/model_save_new --dataset_name Yelp --ori_data ../../Yelp/home.txt --dst_data ../../Yelp/oot.txt --trans_data ../../Yelp/travel.txt --ori_data_enriched ../../Yelp/extendData/enriched_home.txt --dst_data_enriched ../../Yelp/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-1.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 2 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.19870688874069625 --temperature 0.09073104164491952 --enable_pairwise_loss 1 --lambda_pair 0.14146035888136166 --pair_max_future 6 --lambda_transition 0.05573173796754207 --transition_logit_scale 0.05749702283258237 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.5933113553841403 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --decode_constraint_mode soft --soft_constraint_scale 0.0011742263783192195 --soft_constraint_dist_emb_dim 16 --epoch 30 --stop_epoch 8 --lr 0.00030668492537806405 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric full_pairs_f1 --combo_beta 3.974611656262081 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
hparam_seq_num_layers,yelp_soft_pipeline_v1_ablation_seq_num_layers_3_s2050,ok,0,648.13,0.008700,0.000500,0.598300,0.282500,0.000000,0.020800,TEST,FINAL,,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path /root/autodl-tmp/MyCrossCity/Yelp/spottrip_baseline_split.pkl --device cuda:0 --name yelp_soft_pipeline_v1_ablation_seq_num_layers_3_s2050 --save_path ../../Yelp/model_save_new --dataset_name Yelp --ori_data ../../Yelp/home.txt --dst_data ../../Yelp/oot.txt --trans_data ../../Yelp/travel.txt --ori_data_enriched ../../Yelp/extendData/enriched_home.txt --dst_data_enriched ../../Yelp/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-1.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 3 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.19870688874069625 --temperature 0.09073104164491952 --enable_pairwise_loss 1 --lambda_pair 0.14146035888136166 --pair_max_future 6 --lambda_transition 0.05573173796754207 --transition_logit_scale 0.05749702283258237 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.5933113553841403 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --decode_constraint_mode soft --soft_constraint_scale 0.0011742263783192195 --soft_constraint_dist_emb_dim 16 --epoch 30 --stop_epoch 8 --lr 0.00030668492537806405 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric full_pairs_f1 --combo_beta 3.974611656262081 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
hparam_transition_strength,yelp_soft_pipeline_v1_ablation_trans_strength_x0.5_s2050,ok,0,636.41,0.006500,0.000500,0.597400,0.281400,0.000000,0.021200,TEST,FINAL,,/root/miniconda3/envs/SPOT-Trip/bin/python ./main.py --mode train --log --seed 2050 --data_split_path /root/autodl-tmp/MyCrossCity/Yelp/spottrip_baseline_split.pkl --device cuda:0 --name yelp_soft_pipeline_v1_ablation_trans_strength_x0.5_s2050 --save_path ../../Yelp/model_save_new --dataset_name Yelp --ori_data ../../Yelp/home.txt --dst_data ../../Yelp/oot.txt --trans_data ../../Yelp/travel.txt --ori_data_enriched ../../Yelp/extendData/enriched_home.txt --dst_data_enriched ../../Yelp/extendData/enriched_oot.txt --semantic_backend qwen --llm_model_name Qwen/Qwen2.5-1.5B-Instruct --llm_fallback_names Qwen/Qwen2.5-1.5B-Instruct --llm_dtype bfloat16 --use_mamba_backbone 1 --seq_num_layers 3 --mamba_d_state 32 --mamba_d_conv 4 --mamba_expand 2 --dropout 0.19870688874069625 --temperature 0.09073104164491952 --enable_pairwise_loss 1 --lambda_pair 0.14146035888136166 --pair_max_future 6 --lambda_transition 0.027865868983771035 --transition_logit_scale 0.028748511416291186 --use_beam_search 1 --beam_size 3 --beam_len_penalty 0.5933113553841403 --use_no_repeat_mask 1 --pref_factor_k 4 --lambda_decouple 0.1 --lambda_semantic 0.1 --ckpt_name model_best.xhr --eta_fixed -1.0 --enforce_start_end_constraints 1 --decode_constraint_mode soft --soft_constraint_scale 0.0011742263783192195 --soft_constraint_dist_emb_dim 16 --epoch 30 --stop_epoch 8 --lr 0.00030668492537806405 --l2 1e-05 --lr_dc 0.3 --lr_dc_step 8 --disable_checkpoint_save 0 --best_save --save_trainable_only 1 --save_optimizer_state 0 --run_final_test_after_train --early_stop_metric full_pairs_f1 --combo_beta 3.974611656262081 --use_f1_floor_filter 1 --f1_floor_margin 0.002 --save_dual_best 1 --use_enriched_data --qwen_strict --mamba_strict
